Collector Number, Set ID, isFoil, isFullArt,isSpecialArt
262,DMU,no,no,no
263,DMU,no,no,no
264,DMU,no,no,no
265,DMU,no,no,no
265,DMU,no,no,no
266,DMU,no,no,no
267,DMU,no,no,no
268,DMU,no,no,no
268,DMU,no,no,no
269,DMU,no,no,no
270,DMU,no,no,no
271,DMU,no,no,no
271,DMU,no,no,no
272,DMU,no,no,no
273,DMU,no,no,no
274,DMU,no,no,no
274,DMU,no,no,no
275,DMU,no,no,no
276,DMU,no,no,no
262,DMU,no,no,no
429,DMU,yes,no,no
270,DMU,yes,no,no
271,DMU,yes,no,no
271,DMU,yes,no,no
272,DMU,yes,no,no
273,DMU,yes,no,no
274,DMU,yes,no,no
274,DMU,yes,no,no
275,DMU,yes,no,no
276,DMU,yes,no,no
262,DMU,yes,no,no
262,DMU,yes,no,no
263,DMU,yes,no,no
264,DMU,yes,no,no
265,DMU,yes,no,no
265,DMU,yes,no,no
266,DMU,yes,no,no
267,DMU,yes,no,no
268,DMU,yes,no,no
268,DMU,yes,no,no
269,DMU,yes,no,no
275,DMU,no,no,no
240,DMU,no,no,no
152,DMU,no,no,no
138,DMU,no,no,no
223,DMU,no,no,no
86,DMU,no,no,no
184,DMU,no,no,no
296,DMU,no,no,yes
309,DMU,no,no,yes
298,DMU,no,no,yes
110,DMU,no,no,no
27,DMU,yes,no,no
263,DMU,no,no,no
22,DMU,no,no,no
258,DMU,no,no,no
31,DMU,no,no,no
92,DMU,no,no,no
159,DMU,no,no,no
108,DMU,no,no,no
216,DMU,no,no,no
63,DMU,no,no,no
321,DMU,no,no,yes
259,DMU,no,no,no
164,DMU,yes,no,no
151,ELD,no,no,no
264,DMU,yes,no,no
54,DMU,no,no,no
7,DMU,no,no,no
137,DMU,no,no,no
188,DMU,no,no,no
29,DMU,no,no,no
195,DMU,no,no,no
62,DMU,no,no,no
311,DMU,no,no,yes
304,DMU,no,no,yes
16,DMU,no,no,no
251,DMU,yes,no,no
264,DMU,no,no,no
254,DMU,no,no,no
6,DMU,no,no,no
144,DMU,no,no,no
238,DMU,no,no,no
224,DMU,no,no,no
14,DMU,no,no,no
43,DMU,no,no,no
322,DMU,no,no,yes
324,DMU,no,no,yes
84,DMU,no,no,no
258,DMU,yes,no,no
270,DMU,no,no,no
134,DMU,no,no,no
105,DMU,no,no,no
83,DMU,no,no,no
198,DMU,no,no,no
116,DMU,no,no,no
120,DMU,no,no,no
207,DMU,no,no,no
178,DMU,no,no,no
325,DMU,no,no,yes
141,DMU,no,no,no
190,DMU,yes,no,no
265,DMU,no,no,no
77,DMU,no,no,no
246,DMU,no,no,no
181,DMU,no,no,no
69,DMU,no,no,no
104,DMU,no,no,no
233,DMU,no,no,no
89,DMU,no,no,no
321,DMU,no,no,yes
25,DMU,no,no,no
219,DMU,no,no,no
246,DMU,yes,no,no
58,DDN,no,no,no
280,DMU,no,yes,no
260,DMU,no,no,no
127,DMU,no,no,no
55,DMU,no,no,no
231,DMU,no,no,no
56,DMU,no,no,no
21,DMU,no,no,no
200,DMU,no,no,no
151,DMU,no,no,no
294,DMU,no,no,yes
186,DMU,no,no,no
306,DMU,yes,no,yes
276,DMU,no,no,no
70,DMU,no,no,no
159,DMU,no,no,no
260,DMU,no,no,no
127,DMU,no,no,no
232,DMU,no,no,no
51,DMU,no,no,no
173,DMU,no,no,no
297,DMU,no,no,yes
379,DMU,no,yes,yes
185,DMU,no,no,no
83,DMU,yes,no,no
