"ScryfallID","SetID","CollectorNumber","CardName"
"5822b027-369d-46da-b6dd-c31207e2f449","DMU","262","Plains"
"5b364f40-c3c0-4e3a-8556-73f6fcc19eec","DMU","263","Plains"
"be849ad5-9f96-4605-a0dc-8b9588ac7dd6","DMU","264","Plains"
"8bafc217-3d83-4551-b2e3-3494ec14b2f9","DMU","265","Island"
"8bafc217-3d83-4551-b2e3-3494ec14b2f9","DMU","265","Island"
"34ec0f4f-e6f7-4a49-81a3-a1fbad102a9d","DMU","266","Island"
"64e7580a-92bd-4b50-84fc-ee42e47c9014","DMU","267","Island"
"5a846f00-ccb9-4ee2-8358-7c7722258601","DMU","268","Swamp"
"5a846f00-ccb9-4ee2-8358-7c7722258601","DMU","268","Swamp"
"00daa026-aba3-421e-9eaa-aa5649b36eb2","DMU","269","Swamp"
"0306607d-2a42-4008-ac84-8d3ed91fe3aa","DMU","270","Swamp"
"a82f782e-abc8-4b92-a193-17b2c383f765","DMU","271","Mountain"
"a82f782e-abc8-4b92-a193-17b2c383f765","DMU","271","Mountain"
"72776f25-48f5-4d7f-84a9-310928b9d7ad","DMU","272","Mountain"
"40d07155-d45d-4fec-a15e-525df5010af3","DMU","273","Mountain"
"52097f6a-58d3-4176-b3bf-dc94f44adf30","DMU","274","Forest"
"52097f6a-58d3-4176-b3bf-dc94f44adf30","DMU","274","Forest"
"1a1b6004-6dda-4495-85f7-eb8fa29873e9","DMU","275","Forest"
"279ebd05-229a-4a4a-a1c0-c5f24d16dee3","DMU","276","Forest"
"5822b027-369d-46da-b6dd-c31207e2f449","DMU","262","Plains"
"e8b91c26-26f3-45d6-bf7d-35a2963dde37","DMU","429","Herd Migration"
"0306607d-2a42-4008-ac84-8d3ed91fe3aa","DMU","270","Swamp"
"a82f782e-abc8-4b92-a193-17b2c383f765","DMU","271","Mountain"
"a82f782e-abc8-4b92-a193-17b2c383f765","DMU","271","Mountain"
"72776f25-48f5-4d7f-84a9-310928b9d7ad","DMU","272","Mountain"
"40d07155-d45d-4fec-a15e-525df5010af3","DMU","273","Mountain"
"52097f6a-58d3-4176-b3bf-dc94f44adf30","DMU","274","Forest"
"52097f6a-58d3-4176-b3bf-dc94f44adf30","DMU","274","Forest"
"1a1b6004-6dda-4495-85f7-eb8fa29873e9","DMU","275","Forest"
"279ebd05-229a-4a4a-a1c0-c5f24d16dee3","DMU","276","Forest"
"5822b027-369d-46da-b6dd-c31207e2f449","DMU","262","Plains"
"5822b027-369d-46da-b6dd-c31207e2f449","DMU","262","Plains"
"5b364f40-c3c0-4e3a-8556-73f6fcc19eec","DMU","263","Plains"
"be849ad5-9f96-4605-a0dc-8b9588ac7dd6","DMU","264","Plains"
"8bafc217-3d83-4551-b2e3-3494ec14b2f9","DMU","265","Island"
"8bafc217-3d83-4551-b2e3-3494ec14b2f9","DMU","265","Island"
